Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Cereal de salvado de trigo, 1/3,taza,21,21,54,2.6,0.7,15.3,6.7,0,0,66.7,3,0,66.7,0,0,189.3,0,0,0,0,4,42,6.426,Cereales sin grasa
Cereal integral con pasitas, 1/3,taza,20,20,66,2,0.5,15.7,2.7,0,0,33.3,1.5,0,11.7,0,0,130,0,0,0,0,6,42,6.594,Cereales sin grasa
Avena en hojuelas, 1/2,taza,20,20,65,4.6,1.9,17.6,4.1,0,0,0,0.8,0,10.4,0,0,0.8,0,0,0,0,0.2,65,11.44,Cereales sin grasa
Hojuelas de maíz, 3/4,taza,19,19,51,1.1,0,11.4,0.3,0,0,109.3,5.4,0,1.3,0,0,136.7,0,0,0,0,1.8,81,9.234,Cereales sin grasa
Cereal de arroz inflado con chocolate, 1/2,taza,16,16,62,1.1,0.6,13.8,1.2,0,0,3,0.2,0,4.5,0,0,1.9,0,0,0,0,1.5,82,11.316,Cereales sin grasa
Burbujas de maíz azucaradas, 1/2,taza,16,16,59,0.7,0.1,14,0.2,0,0,50,0.9,0,2,0,0,59.5,0,0,0,0,7,80,11.2,Cereales sin grasa
Cereal de trigo sabor frutas, 1/2,taza,15,15,60,0.5,0.8,13,0,0,0,50,2.1,0,10,0,0,100,0,0,0,0,6.5,69,8.97,Cereales sin grasa
Nuez acaramelada, 3/4,taza,12,12,64,1.7,5.6,3,0,0,0,0,0,0,0,0,0,38.6,0,1.3,3,1.3,0,0,0,Aceites y grasas con proteína
Nuez garapiñada, 3/4,taza,12,12,64,1.7,5.6,3,0,0,0,0,0,0,0,0,0,38.6,0,1.3,3,1.3,0,0,0,Aceites y grasas con proteína
Avena con canela y espacias, 1/3,sobre,15,15,56,1.3,0.7,11.7,1,0,0,29,1.3,0,36.3,0,0,81.2,0,0,0,0,5.1,65,7.605,Cereales sin grasa
Avena con manzana y canela, 1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,0,0,27.1,1.2,0,33.9,0,0,75.9,0,0,0,0,4.8,65,7.085,Cereales sin grasa
Avena con pasitas y especias, 1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,0,0,27.1,1.2,0,33.9,0,0,75.9,0,0,0,0,4.8,65,7.085,Cereales sin grasa
Tocino,1,rebanada delgada,8,8,44,0.7,4.6,0,0,0,0,0,0,0,0,0,0,54.8,5.4,1.7,2,0.5,0,0,0,Aceites y grasas
Tocino ahumado,1,rebanada delgada,8,8,44,0.7,4.6,0,0,0,0,0,0,0,0,0,0,54.8,5.4,1.7,2,0.5,0,0,0,Aceites y grasas
Sandía rebanada,1,rebanada,200,200,60,1.3,0.3,15.1,0.8,73.8,18.8,5,0.3,232.5,0,0,0,0,0,0,0,0,12.4,72,10.872,Frutas
Piña rebanada,1,rebanada,84,84,42,0.5,0.1,11,1.2,1.6,13,8.7,0.3,94.8,0,0,0,0,0,0,0,0,8.3,59,6.49,Frutas
Lomo canadiense,3,rebanada,45,45,45,8,1.4,0.1,0,0,0,0,0.5,0,3.9,12.8,0,604.6,23.5,0,0,0,0,0,0,AOAMBG
Salami de pavo,6,rebanada,42,42,72,8.1,3.9,0.7,0,0.8,0,0,0.5,0,16.8,11.1,0,421.7,31.9,0,0,0,0,0,0,AOAMG
Pastrami de pavo,2,rebanada,42,42,59,7.7,2.6,0.7,0,0,0,0,0.7,0,3.7,6.8,0,439.2,22.8,0,0,0,0,0,0,AOABG
Jamón de pierna,2,rebanada,42,42,56,8.1,2.1,0.5,0,0,0,0,0.3,0,3,12.3,0,600,19.5,0,0,0,0,0,0,AOABG
